,Name,geo_loc
0,Bangalore Banashankari,"(12.9393328, 77.5539819)"
1,Bangalore Basavanagudi,"(12.9417261, 77.5755021)"
2,Bangalore Mysore Road,"(12.3868975, 76.6671106)"
3,Bangalore Jayanagar,"(12.9399039, 77.5826382)"
4,Bangalore Kumaraswamy Layout,"(12.9067683, 77.5595021)"
5,Bangalore Rajarajeshwari Nagar,"(12.94393425, 77.5091805440154)"
6,Bangalore Vijay Nagar,
7,Bangalore Uttarahalli,"(12.9055682, 77.5455438)"
8,Bangalore JP Nagar,"(12.9096941, 77.5866067)"
9,Bangalore South Bangalore,"(12.98815675, 77.62260003796)"
10,Bangalore City Market,"(12.965717999999999, 77.5762705372058)"
11,Bangalore Nagarbhavi,"(13.00196975, 77.52883895255425)"
12,Bangalore Bannerghatta Road,"(12.9521804, 77.6041899)"
13,Bangalore BTM,"(12.9163603, 77.604733)"
14,Bangalore Kanakapura Road,"(12.9375902, 77.5753175)"
15,Bangalore Bommanahalli,"(12.9089453, 77.6239038)"
16,Bangalore nan,"(52.49148485, 1.2372484335227272)"
17,Bangalore CV Raman Nagar,"(12.9855509, 77.668072)"
18,Bangalore Electronic City,"(12.848759900000001, 77.64825295827616)"
19,Bangalore HSR,"(12.90056335, 77.64947470503677)"
20,Bangalore Marathahalli,"(12.9552572, 77.6984163)"
21,Bangalore Sarjapur Road,"(12.9240089, 77.6531102)"
22,Bangalore Wilson Garden,"(12.9489339, 77.5968273)"
23,Bangalore Shanti Nagar,"(12.9575547, 77.5979099)"
24,Bangalore Koramangala 5th Block,"(12.9348429, 77.6189768)"
25,Bangalore Koramangala 8th Block,"(12.9408685, 77.617338)"
26,Bangalore Richmond Road,"(12.9715695, 77.6195459)"
27,Bangalore Koramangala 7th Block,"(12.9364846, 77.6134783)"
28,Bangalore Jalahalli,"(13.0394104, 77.5197351)"
29,Bangalore Koramangala 4th Block,"(12.9327778, 77.6294052)"
30,Bangalore Bellandur,"(12.93103185, 77.6782471)"
31,Bangalore Whitefield,"(12.9696365, 77.7497448)"
32,Bangalore East Bangalore,"(12.98815675, 77.62260003796)"
33,Bangalore Old Airport Road,"(12.9606619, 77.6422626)"
34,Bangalore Indiranagar,"(12.9962979, 77.5452778)"
35,Bangalore Koramangala 1st Block,"(12.9277245, 77.6327822)"
36,Bangalore Frazer Town,"(12.9986827, 77.615525)"
37,Bangalore RT Nagar,"(13.0227204, 77.595715)"
38,Bangalore MG Road,"(12.9755264, 77.6067902)"
39,Bangalore Brigade Road,"(12.9750849, 77.6079337)"
40,Bangalore Lavelle Road,"(12.9720412, 77.5985228)"
41,Bangalore Church Street,"(12.9749032, 77.6052899)"
42,Bangalore Ulsoor,"(12.9778793, 77.6246697)"
43,Bangalore Residency Road,"(12.9672379, 77.5993533)"
44,Bangalore Shivajinagar,"(12.986391, 77.6075416)"
45,Bangalore Infantry Road,"(12.9838084, 77.5940649)"
46,Bangalore St. Marks Road,"(12.9744255, 77.6015301)"
47,Bangalore Cunningham Road,"(12.9910375, 77.5858824)"
48,Bangalore Race Course Road,"(12.9836817, 77.5775299)"
49,Bangalore Commercial Street,"(12.9822324, 77.6082947)"
50,Bangalore Vasanth Nagar,"(12.9934283, 77.5902145)"
51,Bangalore HBR Layout,"(13.0358698, 77.6323597)"
52,Bangalore Domlur,"(12.9624669, 77.6381958)"
53,Bangalore Ejipura,"(12.9427087, 77.6307137)"
54,Bangalore Jeevan Bhima Nagar,"(12.9678074, 77.6568367)"
55,Bangalore Old Madras Road,"(12.9829621, 77.6374382)"
56,Bangalore Malleshwaram,"(13.0027353, 77.5703253)"
57,Bangalore Seshadripuram,"(12.9931876, 77.5753419)"
58,Bangalore Kammanahalli,"(13.0093455, 77.6377094)"
59,Bangalore Koramangala 6th Block,"(12.9390255, 77.6238477)"
60,Bangalore Majestic,"(12.9783547, 77.5728609)"
61,Bangalore Langford Town,"(12.957998, 77.6037312)"
62,Bangalore Central Bangalore,"(12.97339325, 77.61124684880099)"
63,Bangalore Sanjay Nagar,"(12.9578658, 77.6958748)"
